outer_postcode	adm2
HU19	EAST_RIDING_OF_YORKSHIRE
S32	DERBYSHIRE|SHEFFIELD
G83	STIRLING|WEST_DUNBARTONSHIRE|ARGYLL_AND_BUTE|EAST_DUNBARTONSHIRE|PERTHSHIRE_AND_KINROSS
CV22	WARWICKSHIRE
HS3	EILEAN_SIAR
NR1	NORFOLK
BN15	WEST_SUSSEX
TS8	MIDDLESBROUGH|STOCKTON-ON-TEES|NORTH_YORKSHIRE|HARTLEPOOL
LA6	NORTH_YORKSHIRE|CUMBRIA|LANCASHIRE
B30	BIRMINGHAM
LL16	CONWY|DENBIGHSHIRE
TF13	SHROPSHIRE
DG5	DUMFRIES_AND_GALLOWAY
SN11	WILTSHIRE
SY25	CEREDIGION
DD8	ANGUS
HS1	EILEAN_SIAR
HR4	HEREFORDSHIRE
WF11	BRADFORD|CALDERDALE|KIRKLEES|LEEDS|WAKEFIELD|NORTH_YORKSHIRE
TN4	KENT|EAST_SUSSEX
EC1V	GREATER_LONDON
OX13	OXFORDSHIRE
TN32	EAST_SUSSEX
B67	SANDWELL|BIRMINGHAM
GU21	SURREY
TF12	SHROPSHIRE
CM20	HERTFORDSHIRE|ESSEX
FK17	STIRLING
CO5	ESSEX
G65	EAST_DUNBARTONSHIRE|WEST_DUNBARTONSHIRE|NORTH_LANARKSHIRE|FALKIRK|PERTHSHIRE_AND_KINROSS|STIRLING
BN22	EAST_SUSSEX
HP23	HERTFORDSHIRE|BUCKINGHAMSHIRE
HR6	HEREFORDSHIRE|POWYS|WORCESTERSHIRE
TF1	TELFORD_AND_WREKIN
LD1	POWYS
SA4	SWANSEA|CARMARTHENSHIRE
SK3	STOCKPORT
TW2	GREATER_LONDON
L39	LANCASHIRE
IV26	HIGHLAND
DN2	DONCASTER
AB37	HIGHLAND|MORAY
BH3	DORSET|BOURNEMOUTH|POOLE
B14	BIRMINGHAM|SOLIHULL|WORCESTERSHIRE
M21	MANCHESTER|BOLTON|BURY|OLDHAM|ROCHDALE|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN|SALFORD
HU9	EAST_RIDING_OF_YORKSHIRE
BA6	SOMERSET
LA23	CUMBRIA
DA2	KENT
HU17	EAST_RIDING_OF_YORKSHIRE
S45	DERBYSHIRE
EN6	HERTFORDSHIRE
NR20	NORFOLK
HD9	BRADFORD|CALDERDALE|KIRKLEES|LEEDS|WAKEFIELD
L4	KNOWSLEY|SAINT_HELENS|SEFTON|WIRRAL
SM1	GREATER_LONDON
TA7	SOMERSET
L29	SEFTON
PR3	LANCASHIRE
MK12	MILTON_KEYNES|NORTHAMPTONSHIRE
NP8	MONMOUTHSHIRE|POWYS
W1J	GREATER_LONDON
DL12	NORTH_YORKSHIRE|DURHAM|CUMBRIA
SW1X	GREATER_LONDON
RH17	WEST_SUSSEX|EAST_SUSSEX
FK14	PERTHSHIRE_AND_KINROSS|FIFE|CLACKMANNANSHIRE
NE27	SOUTH_TYNESIDE|NORTH_TYNESIDE|NEWCASTLE_UPON_TYNE|SUNDERLAND|GATESHEAD
CA27	CUMBRIA
S42	DERBYSHIRE
IV6	HIGHLAND
BH14	DORSET
SY19	POWYS
SE17	GREATER_LONDON
CT19	KENT
DA15	GREATER_LONDON
NE69	NORTHUMBERLAND
DH8	NORTHUMBERLAND|DURHAM
PH12	ANGUS|PERTHSHIRE_AND_KINROSS
ST1	STOKE-ON-TRENT|STAFFORDSHIRE
KT19	SURREY|GREATER_LONDON
NP44	TORFAEN|MONMOUTHSHIRE
SY99	SHROPSHIRE
NR11	NORFOLK
UB11	GREATER_LONDON
HP20	BUCKINGHAMSHIRE
CF71	VALE_OF_GLAMORGAN
SP2	WILTSHIRE
LA15	CUMBRIA
PA41	ARGYLL_AND_BUTE
SE26	GREATER_LONDON
BT40	MID_AND_EAST_ANTRIM
BN18	WEST_SUSSEX
BT49	CAUSEWAY_COAST_AND_GLENS
IP11	SUFFOLK
TN9	KENT
IG6	GREATER_LONDON
