outer_postcode	adm2
LE5	LEICESTERSHIRE|LEICESTER|RUTLAND
LE65	LEICESTERSHIRE
CA28	CUMBRIA
DG8	DUMFRIES_AND_GALLOWAY|SOUTH_AYRSHIRE
S61	BARNSLEY|DONCASTER|ROTHERHAM|SHEFFIELD
HA6	HERTFORDSHIRE|GREATER_LONDON
PA63	ARGYLL_AND_BUTE
TA3	SOMERSET
W4	GREATER_LONDON
G46	GLASGOW|EAST_RENFREWSHIRE
LS10	LEEDS
SS6	ESSEX
CV10	WARWICKSHIRE
WF6	WAKEFIELD
EX34	DEVON
WD24	HERTFORDSHIRE
PE35	NORFOLK
SA69	PEMBROKESHIRE
WF3	BRADFORD|CALDERDALE|KIRKLEES|LEEDS|WAKEFIELD
B34	BIRMINGHAM
UB9	HERTFORDSHIRE|BUCKINGHAMSHIRE|GREATER_LONDON
YO8	NORTH_YORKSHIRE|EAST_RIDING_OF_YORKSHIRE
SG5	HERTFORDSHIRE|CENTRAL_BEDFORDSHIRE
B31	WORCESTERSHIRE|BIRMINGHAM
BD99	BRADFORD
IV42	HIGHLAND
PH49	HIGHLAND
PH20	HIGHLAND
OX16	OXFORDSHIRE
PL17	DEVON
SA32	CARMARTHENSHIRE
KT13	SURREY
EC3P	GREATER_LONDON
NG7	NOTTINGHAM|NOTTINGHAMSHIRE
HU3	EAST_RIDING_OF_YORKSHIRE
BA5	SOMERSET
NE68	NORTHUMBERLAND
TW20	SURREY
PL2	DEVON
EH51	FALKIRK
PA8	RENFREWSHIRE
NR15	NORFOLK
PA9	RENFREWSHIRE
LS13	LEEDS
CB4	CAMBRIDGESHIRE
WS12	STAFFORDSHIRE
L75	KNOWSLEY|SAINT_HELENS|SEFTON|WIRRAL
BS30	BATH_AND_NORTH_EAST_SOMERSET|SOUTH_GLOUCESTERSHIRE|NORTH_SOMERSET
L32	KNOWSLEY
KA27	NORTH_AYRSHIRE
TR12	CORNWALL
E8	GREATER_LONDON
GU14	SURREY|HAMPSHIRE
SY22	SHROPSHIRE|POWYS
L7	KNOWSLEY|SAINT_HELENS|SEFTON|WIRRAL
RM8	GREATER_LONDON
LL24	CONWY
PO4	PORTSMOUTH|HAMPSHIRE
NN9	NORTHAMPTONSHIRE
MK45	BEDFORDSHIRE|CENTRAL_BEDFORDSHIRE|HERTFORDSHIRE
HD2	BRADFORD|CALDERDALE|KIRKLEES|LEEDS|WAKEFIELD
AL1	HERTFORDSHIRE
IV9	HIGHLAND
S96	SHEFFIELD
PH11	ANGUS|PERTHSHIRE_AND_KINROSS
LA22	CUMBRIA
PH24	HIGHLAND
DA13	KENT
CF62	VALE_OF_GLAMORGAN
CR8	SURREY|GREATER_LONDON
CH27	WIRRAL
KT16	SURREY
SS4	ESSEX
EH18	MIDLOTHIAN|EDINBURGH
SR2	SUNDERLAND
SN12	WILTSHIRE
YO22	NORTH_YORKSHIRE
DN14	BARNSLEY|DONCASTER|ROTHERHAM|SHEFFIELD|NORTH_YORKSHIRE|EAST_RIDING_OF_YORKSHIRE|NORTH_LINCOLNSHIRE
NP26	NEWPORT|MONMOUTHSHIRE
DN39	LINCOLNSHIRE
EH95	EDINBURGH
SA15	CARMARTHENSHIRE
IG3	GREATER_LONDON
DN36	LINCOLNSHIRE
S44	DERBYSHIRE
B62	WORCESTERSHIRE|SANDWELL|DUDLEY|BIRMINGHAM
SA67	PEMBROKESHIRE|CARMARTHENSHIRE
SW11	GREATER_LONDON
E4	GREATER_LONDON|ESSEX
SA36	PEMBROKESHIRE
DL7	NORTH_YORKSHIRE
BR6	KENT|GREATER_LONDON
UB5	GREATER_LONDON
EH42	EAST_LOTHIAN
CF34	BRIDGEND
WA14	MANCHESTER|BOLTON|BURY|OLDHAM|ROCHDALE|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN|SALFORD
CA23	CUMBRIA
DN19	NORTH_LINCOLNSHIRE
L72	SEFTON
EH21	MIDLOTHIAN|EAST_LOTHIAN|EDINBURGH
IG7	GREATER_LONDON|ESSEX
ME14	KENT
NG2	NOTTINGHAMSHIRE
EH45	SCOTTISH_BORDERS
PE20	LINCOLNSHIRE
BT15	BELFAST
PO19	WEST_SUSSEX
PA23	ARGYLL_AND_BUTE|EAST_DUNBARTONSHIRE|WEST_DUNBARTONSHIRE
NE17	SOUTH_TYNESIDE|NORTH_TYNESIDE|DURHAM|NORTHUMBERLAND
EH8	EDINBURGH
IP8	SUFFOLK
EC2Y	GREATER_LONDON
B35	BIRMINGHAM
NE67	NORTHUMBERLAND
G3	GLASGOW
NG16	NOTTINGHAMSHIRE|DERBYSHIRE
AB43	ABERDEENSHIRE
KY12	FIFE
G64	GLASGOW|EAST_DUNBARTONSHIRE|NORTH_LANARKSHIRE
SY18	POWYS
LL65	ANGLESEY
CV47	WARWICKSHIRE
HA3	GREATER_LONDON
TA19	SOMERSET
PH3	PERTHSHIRE_AND_KINROSS
BS2	BRISTOL
EX8	DEVON
SL6	BUCKINGHAMSHIRE|BRACKNELL_FOREST|READING|SLOUGH|WEST_BERKSHIRE|WINDSOR_AND_MAIDENHEAD|WOKINGHAM
CF32	VALE_OF_GLAMORGAN|BRIDGEND
TS21	DURHAM
KY6	PERTHSHIRE_AND_KINROSS|FIFE
BB94	LANCASHIRE
HU18	EAST_RIDING_OF_YORKSHIRE
PO21	WEST_SUSSEX
NE19	NORTHUMBERLAND
DL1	DURHAM
SO52	HAMPSHIRE
AB15	ABERDEENSHIRE|ABERDEEN
NG1	NOTTINGHAM
TQ9	DEVON
SL2	BUCKINGHAMSHIRE|BRACKNELL_FOREST|READING|SLOUGH|WEST_BERKSHIRE|WINDSOR_AND_MAIDENHEAD|WOKINGHAM
SE14	GREATER_LONDON
PH19	HIGHLAND
RH3	SURREY
WA13	MANCHESTER|BOLTON|BURY|OLDHAM|ROCHDALE|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN|SALFORD|CHESHIRE_EAST|WARRINGTON
CM19	HERTFORDSHIRE|ESSEX
NG32	LINCOLNSHIRE|LEICESTERSHIRE
HP8	HERTFORDSHIRE|BUCKINGHAMSHIRE
EH55	WEST_LOTHIAN|SOUTH_LANARKSHIRE
TN8	SURREY|EAST_SUSSEX|KENT
LU3	BEDFORDSHIRE
ST12	STAFFORDSHIRE
PL31	CORNWALL
NG22	NOTTINGHAMSHIRE
M22	MANCHESTER|BOLTON|BURY|OLDHAM|ROCHDALE|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN|SALFORD
NG15	NOTTINGHAMSHIRE
NW6	GREATER_LONDON
ST3	STAFFORDSHIRE
NW10	GREATER_LONDON
SL1	BUCKINGHAMSHIRE|BRACKNELL_FOREST|READING|SLOUGH|WEST_BERKSHIRE|WINDSOR_AND_MAIDENHEAD|WOKINGHAM
SO16	HAMPSHIRE
W8	GREATER_LONDON
SG3	HERTFORDSHIRE
SW7	GREATER_LONDON
B38	WORCESTERSHIRE|BIRMINGHAM
CW98	CHESHIRE_EAST
LN5	LINCOLNSHIRE
NR27	NORFOLK
CF33	NEATH_PORT_TALBOT|BRIDGEND
M28	MANCHESTER|BOLTON|BURY|OLDHAM|ROCHDALE|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN|SALFORD
MK1	MILTON_KEYNES
DT2	DORSET
WR1	WORCESTERSHIRE
WR3	WORCESTERSHIRE
KT23	SURREY
G42	GLASGOW
CT1	KENT
SN38	SWINDON
TR6	CORNWALL
LE16	RUTLAND|NORTHAMPTONSHIRE|LEICESTERSHIRE
SP8	DORSET
SO15	SOUTHAMPTON|HAMPSHIRE
CV23	WARWICKSHIRE|LEICESTERSHIRE|NORTHAMPTONSHIRE
PA3	RENFREWSHIRE
DT8	SOMERSET
WA88	HALTON
SL60	WINDSOR_AND_MAIDENHEAD
SG12	HERTFORDSHIRE
PE4	PETERBOROUGH
CH65	CHESHIRE_WEST_AND_CHESTER|WIRRAL
NE18	NORTHUMBERLAND
LE12	NOTTINGHAMSHIRE|LEICESTERSHIRE
SE16	GREATER_LONDON
WR13	WORCESTERSHIRE|GLOUCESTERSHIRE|HEREFORDSHIRE
KA4	EAST_AYRSHIRE
NR13	NORFOLK
SG9	HERTFORDSHIRE
EN10	HERTFORDSHIRE|ESSEX
SS22	SOUTHEND-ON-SEA
CB22	CAMBRIDGESHIRE
LL62	ANGLESEY
NG3	NOTTINGHAMSHIRE
WD6	HERTFORDSHIRE
YO30	NORTH_YORKSHIRE
CR5	SURREY|GREATER_LONDON
DA12	KENT|THURROCK|MEDWAY
SN14	WILTSHIRE
NE39	SOUTH_TYNESIDE|NORTH_TYNESIDE|DURHAM
LL41	GWYNEDD
RG7	HAMPSHIRE|BRACKNELL_FOREST|READING|SLOUGH|WEST_BERKSHIRE|WINDSOR_AND_MAIDENHEAD|WOKINGHAM
DL3	DARLINGTON|DURHAM|NORTH_YORKSHIRE
GU27	WEST_SUSSEX|SURREY|HAMPSHIRE
S7	SHEFFIELD
TQ8	DEVON
DE3	DERBYSHIRE
CH3	CHESHIRE_EAST|CHESHIRE_WEST_AND_CHESTER
PA19	INVERCLYDE|RENFREWSHIRE|EAST_RENFREWSHIRE
FY6	LANCASHIRE
PO34	ISLE_OF_WIGHT
YO13	NORTH_YORKSHIRE
SE1P	GREATER_LONDON
TN5	KENT|EAST_SUSSEX
AL4	HERTFORDSHIRE
B95	WARWICKSHIRE
BT13	BELFAST
W10	GREATER_LONDON
CA25	CUMBRIA
NR8	NORFOLK
EX6	DEVON
TA24	SOMERSET
SK9	CHESHIRE_EAST
BA14	WILTSHIRE
PA72	ARGYLL_AND_BUTE
HS5	EILEAN_SIAR
W6	GREATER_LONDON
BS98	BRISTOL
G71	GLASGOW|SOUTH_LANARKSHIRE|NORTH_LANARKSHIRE
NP20	NEWPORT
SW13	GREATER_LONDON
GU4	SURREY
SW10	GREATER_LONDON
LL40	GWYNEDD
MK7	MILTON_KEYNES
AB52	ABERDEENSHIRE
BA20	SOMERSET
CM9	ESSEX
DN40	LINCOLNSHIRE
LN12	LINCOLNSHIRE
SS5	ESSEX
WS11	STAFFORDSHIRE
EH38	SCOTTISH_BORDERS
LL69	ANGLESEY
M12	MANCHESTER
NG18	NOTTINGHAMSHIRE
BS8	BRISTOL|SOUTH_GLOUCESTERSHIRE|NORTH_SOMERSET|BATH_AND_NORTH_EAST_SOMERSET
IP22	SUFFOLK|NORFOLK
KA2	NORTH_AYRSHIRE|EAST_AYRSHIRE|SOUTH_AYRSHIRE
MK43	BUCKINGHAMSHIRE|BEDFORDSHIRE|MILTON_KEYNES|NORTHAMPTONSHIRE|CENTRAL_BEDFORDSHIRE
TA10	SOMERSET
BD16	BRADFORD
NP4	TORFAEN|MONMOUTHSHIRE
RG31	BRACKNELL_FOREST|READING|SLOUGH|WEST_BERKSHIRE|WINDSOR_AND_MAIDENHEAD|WOKINGHAM
WA1	WARRINGTON
CF10	CARDIFF
SY10	SHROPSHIRE|POWYS
B17	BIRMINGHAM|SANDWELL
S60	BARNSLEY|DONCASTER|ROTHERHAM|SHEFFIELD
SE12	GREATER_LONDON
IV48	HIGHLAND
KY13	PERTHSHIRE_AND_KINROSS|FIFE|CLACKMANNANSHIRE
HP16	BUCKINGHAMSHIRE
HA4	GREATER_LONDON
SM3	SURREY|GREATER_LONDON
L15	KNOWSLEY|SAINT_HELENS|SEFTON|WIRRAL
S43	DERBYSHIRE
GL52	GLOUCESTERSHIRE
SA19	CARMARTHENSHIRE
ML6	NORTH_LANARKSHIRE
BT3	BELFAST
OX33	OXFORDSHIRE
SS99	SOUTHEND-ON-SEA
RG45	BRACKNELL_FOREST|READING|SLOUGH|WEST_BERKSHIRE|WINDSOR_AND_MAIDENHEAD|WOKINGHAM
RM3	GREATER_LONDON
LE6	LEICESTERSHIRE
G4	GLASGOW
WV7	SHROPSHIRE|STAFFORDSHIRE
CO15	ESSEX
NW4	GREATER_LONDON
RG19	HAMPSHIRE|BRACKNELL_FOREST|READING|SLOUGH|WEST_BERKSHIRE|WINDSOR_AND_MAIDENHEAD|WOKINGHAM
TS3	MIDDLESBROUGH|HARTLEPOOL|STOCKTON-ON-TEES
NR9	NORFOLK
IV10	HIGHLAND
TA5	SOMERSET
KW10	HIGHLAND
CF95	CARDIFF
SW18	GREATER_LONDON
EC4Y	GREATER_LONDON
IP17	SUFFOLK
WR2	WORCESTERSHIRE
CV13	WARWICKSHIRE|LEICESTERSHIRE
B29	BIRMINGHAM
L40	LANCASHIRE
DE15	STAFFORDSHIRE|DERBYSHIRE
SA3	SWANSEA
GL7	WILTSHIRE|OXFORDSHIRE|GLOUCESTERSHIRE|SWINDON
NN8	NORTHAMPTONSHIRE
PO41	ISLE_OF_WIGHT
M61	MANCHESTER
PA12	RENFREWSHIRE
SY15	SHROPSHIRE|POWYS
LL53	GWYNEDD
CT11	KENT
B12	BIRMINGHAM
PA70	ARGYLL_AND_BUTE
KA25	NORTH_AYRSHIRE
L35	KNOWSLEY|SAINT_HELENS|SEFTON|WIRRAL
HR1	HEREFORDSHIRE
BT69	MID_ULSTER
LL20	DENBIGHSHIRE|WREXHAM
SN15	WILTSHIRE
YO18	NORTH_YORKSHIRE
S97	BARNSLEY|DONCASTER|ROTHERHAM|SHEFFIELD
CM2	ESSEX
CA9	NORTHUMBERLAND|CUMBRIA|DURHAM
PE27	CAMBRIDGESHIRE
PL33	CORNWALL
CF3	NEWPORT|CARDIFF|CAERPHILLY
HS2	EILEAN_SIAR
WD18	HERTFORDSHIRE
FK21	STIRLING|PERTHSHIRE_AND_KINROSS
NW5	GREATER_LONDON
TR23	ISLES_OF_SCILLY
B78	WARWICKSHIRE|BIRMINGHAM|STAFFORDSHIRE
MK5	MILTON_KEYNES|BUCKINGHAMSHIRE
CW5	CHESHIRE_EAST
PA20	ARGYLL_AND_BUTE|EAST_DUNBARTONSHIRE|WEST_DUNBARTONSHIRE
M19	MANCHESTER|BOLTON|BURY|OLDHAM|ROCHDALE|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN|SALFORD
BH16	DORSET
PO10	WEST_SUSSEX|HAMPSHIRE
S33	DERBYSHIRE
TN36	EAST_SUSSEX
DL15	DURHAM
AB45	ABERDEENSHIRE|MORAY
WC1B	GREATER_LONDON
TN29	KENT
EH43	SCOTTISH_BORDERS
FK19	STIRLING
MK46	MILTON_KEYNES|BEDFORDSHIRE|NORTHAMPTONSHIRE
W1F	GREATER_LONDON
LN10	LINCOLNSHIRE
SN99	SWINDON
NP15	MONMOUTHSHIRE
BL2	MANCHESTER|BOLTON|BURY|OLDHAM|ROCHDALE|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN|SALFORD
L68	SEFTON
FY5	LANCASHIRE
TS11	NORTH_YORKSHIRE
LL15	DENBIGHSHIRE
TN26	KENT
S1	SHEFFIELD
BN21	EAST_SUSSEX
OL4	OLDHAM
BN51	BRIGHTON_AND_HOVE
HD3	BRADFORD|CALDERDALE|KIRKLEES|LEEDS|WAKEFIELD
EC3R	GREATER_LONDON
DN37	LINCOLNSHIRE
GU19	SURREY
TS16	STOCKTON-ON-TEES|HARTLEPOOL|NORTH_YORKSHIRE|DARLINGTON
LE1	LEICESTERSHIRE
IV28	HIGHLAND
NG33	LINCOLNSHIRE
WA55	WARRINGTON
TW5	GREATER_LONDON
DN34	LINCOLNSHIRE
SY13	SHROPSHIRE|CHESHIRE_EAST|CHESHIRE_WEST_AND_CHESTER|FLINTSHIRE|WREXHAM
CF31	BRIDGEND
NR34	SUFFOLK|NORFOLK
NN2	NORTHAMPTONSHIRE
NE47	NORTHUMBERLAND
GU5	SURREY
M34	TAMESIDE
IP28	SUFFOLK
DN32	LINCOLNSHIRE
TA4	SOMERSET
BS10	BRISTOL|BATH_AND_NORTH_EAST_SOMERSET|NORTH_SOMERSET|SOUTH_GLOUCESTERSHIRE
KW15	ORKNEY_ISLANDS
KA12	NORTH_AYRSHIRE|EAST_AYRSHIRE|ARGYLL_AND_BUTE
AL8	HERTFORDSHIRE
CH31	WIRRAL
LA9	CUMBRIA
SO23	HAMPSHIRE
IG1	GREATER_LONDON
TR13	CORNWALL
WF90	WAKEFIELD
SA5	SWANSEA
W14	GREATER_LONDON
SG6	HERTFORDSHIRE
WA3	KNOWSLEY|SAINT_HELENS|SEFTON|WIRRAL|BOLTON|BURY|MANCHESTER|OLDHAM|ROCHDALE|SALFORD|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN|WARRINGTON
HP19	BUCKINGHAMSHIRE
YO10	YORK
TR7	CORNWALL
SW2	GREATER_LONDON
BT39	ANTRIM_AND_NEWTOWNABBEY|MID_AND_EAST_ANTRIM
TN35	EAST_SUSSEX
DD7	ANGUS
NE34	SOUTH_TYNESIDE
EN1	GREATER_LONDON
DE23	DERBYSHIRE
EH31	EAST_LOTHIAN
EX23	DEVON|CORNWALL
BT54	CAUSEWAY_COAST_AND_GLENS
PO40	ISLE_OF_WIGHT
WA16	CHESHIRE_EAST|CHESHIRE_WEST_AND_CHESTER
TQ4	TORBAY|DEVON
SW8	GREATER_LONDON
LL78	ANGLESEY
ML1	NORTH_LANARKSHIRE
SW1H	GREATER_LONDON
PH37	HIGHLAND
WV14	BIRMINGHAM|COVENTRY|WOLVERHAMPTON|DUDLEY|SANDWELL|SOLIHULL|WALSALL
SK10	CHESHIRE_EAST|BOLTON|BURY|MANCHESTER|OLDHAM|ROCHDALE|SALFORD|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN
PH38	HIGHLAND
BN6	WEST_SUSSEX|EAST_SUSSEX|BRIGHTON_AND_HOVE
SA16	CARMARTHENSHIRE
L26	KNOWSLEY|SAINT_HELENS|SEFTON|WIRRAL
DN9	BARNSLEY|DONCASTER|ROTHERHAM|SHEFFIELD|NOTTINGHAMSHIRE|NORTH_LINCOLNSHIRE|LINCOLNSHIRE
OX11	OXFORDSHIRE
YO51	NORTH_YORKSHIRE
IV46	HIGHLAND
BR4	GREATER_LONDON
BH23	HAMPSHIRE|BOURNEMOUTH|POOLE|DORSET
CO9	SUFFOLK|ESSEX
DA8	GREATER_LONDON
SA40	CEREDIGION|CARMARTHENSHIRE
PA7	RENFREWSHIRE
BD7	BRADFORD
SA63	PEMBROKESHIRE
KA15	NORTH_AYRSHIRE
CB21	ESSEX|CAMBRIDGESHIRE|SUFFOLK
TR26	CORNWALL
IG10	ESSEX|GREATER_LONDON
G14	GLASGOW|WEST_DUNBARTONSHIRE
DH2	SOUTH_TYNESIDE|NORTH_TYNESIDE|DURHAM
M90	MANCHESTER
CA12	CUMBRIA
DE45	DERBYSHIRE
RG25	HAMPSHIRE
ML5	NORTH_LANARKSHIRE
NN17	NORTHAMPTONSHIRE
LA21	CUMBRIA
SY12	SHROPSHIRE
TN2	KENT
NE13	SOUTH_TYNESIDE|NORTH_TYNESIDE|NEWCASTLE_UPON_TYNE|SUNDERLAND|GATESHEAD
YO43	EAST_RIDING_OF_YORKSHIRE
PA27	ARGYLL_AND_BUTE
SY2	SHROPSHIRE
SG14	HERTFORDSHIRE
TA1	SOMERSET
PO38	ISLE_OF_WIGHT
L17	KNOWSLEY|SAINT_HELENS|SEFTON|WIRRAL
SK12	MANCHESTER|BOLTON|BURY|OLDHAM|ROCHDALE|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN|SALFORD|CHESHIRE_EAST|DERBYSHIRE
B13	BIRMINGHAM
MK3	BUCKINGHAMSHIRE
CO6	SUFFOLK|ESSEX
IV4	HIGHLAND
DA18	GREATER_LONDON
G72	GLASGOW|SOUTH_LANARKSHIRE
NN12	NORTHAMPTONSHIRE
TS22	DURHAM
DD1	DUNDEE
NE29	NORTH_TYNESIDE
PA78	ARGYLL_AND_BUTE
M40	MANCHESTER|BOLTON|BURY|OLDHAM|ROCHDALE|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN|SALFORD
CO16	ESSEX
CV2	BIRMINGHAM|COVENTRY|WOLVERHAMPTON|DUDLEY|SANDWELL|SOLIHULL|WALSALL
LL52	GWYNEDD
B15	BIRMINGHAM
OL15	CALDERDALE|KIRKLEES|BOLTON|BURY|MANCHESTER|OLDHAM|ROCHDALE|SALFORD|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN
PA30	ARGYLL_AND_BUTE
M13	MANCHESTER
WR8	WORCESTERSHIRE
BN88	BRIGHTON_AND_HOVE
NN18	NORTHAMPTONSHIRE
SA70	PEMBROKESHIRE
LU7	BUCKINGHAMSHIRE|HERTFORDSHIRE|CENTRAL_BEDFORDSHIRE
IV63	HIGHLAND
SW3	GREATER_LONDON
EC4V	GREATER_LONDON
MK19	NORTHAMPTONSHIRE|MILTON_KEYNES|BUCKINGHAMSHIRE
KW9	HIGHLAND
RM2	GREATER_LONDON
SE9	GREATER_LONDON
SA35	PEMBROKESHIRE|CEREDIGION|CARMARTHENSHIRE
PO22	WEST_SUSSEX
GL10	GLOUCESTERSHIRE
CT18	KENT
LS27	LEEDS
CB24	CAMBRIDGESHIRE
TA20	SOMERSET
TF3	TELFORD_AND_WREKIN|SHROPSHIRE
TR21	CORNWALL
S5	SHEFFIELD
MK44	CAMBRIDGESHIRE|CENTRAL_BEDFORDSHIRE|NORTHAMPTONSHIRE|BEDFORDSHIRE
CF82	CAERPHILLY
SS14	ESSEX
DY9	WORCESTERSHIRE|DUDLEY
RH19	WEST_SUSSEX
SA42	PEMBROKESHIRE
NE46	NORTHUMBERLAND
CA24	CUMBRIA
SO45	HAMPSHIRE
PA10	RENFREWSHIRE
DN15	NORTH_LINCOLNSHIRE|EAST_RIDING_OF_YORKSHIRE
CA19	CUMBRIA
DE24	DERBYSHIRE
SK17	STAFFORDSHIRE|DERBYSHIRE|CHESHIRE_EAST
KY8	FIFE
BS35	SOUTH_GLOUCESTERSHIRE|GLOUCESTERSHIRE|NORTH_SOMERSET|BATH_AND_NORTH_EAST_SOMERSET|MONMOUTHSHIRE|NEWPORT
KW12	HIGHLAND
LS12	LEEDS|BRADFORD
LL57	GWYNEDD
NW11	GREATER_LONDON
B80	WORCESTERSHIRE|WARWICKSHIRE
NR12	NORFOLK
M7	MANCHESTER|BOLTON|BURY|OLDHAM|ROCHDALE|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN|SALFORD
PH18	PERTHSHIRE_AND_KINROSS
SN16	WILTSHIRE
BS24	SOMERSET
S17	DERBYSHIRE|SHEFFIELD
DY6	BIRMINGHAM|COVENTRY|WOLVERHAMPTON|DUDLEY|SANDWELL|SOLIHULL|WALSALL
BL5	BOLTON
PE30	NORFOLK
HU13	EAST_RIDING_OF_YORKSHIRE
LN11	LINCOLNSHIRE
SO43	HAMPSHIRE
HU14	EAST_RIDING_OF_YORKSHIRE
YO11	NORTH_YORKSHIRE
BN14	WEST_SUSSEX
ST2	STAFFORDSHIRE|STOKE-ON-TRENT
DT5	DORSET
CM22	HERTFORDSHIRE|ESSEX
BT46	MID_ULSTER|CAUSEWAY_COAST_AND_GLENS
LL26	CONWY
SS2	ESSEX|SOUTHEND-ON-SEA
B47	WORCESTERSHIRE|BIRMINGHAM|SOLIHULL|WARWICKSHIRE
HP11	BUCKINGHAMSHIRE
YO90	YORK
PA67	ARGYLL_AND_BUTE
NR30	NORFOLK
EX36	DEVON
WA7	CHESHIRE_EAST|CHESHIRE_WEST_AND_CHESTER|WARRINGTON|KNOWSLEY|SAINT_HELENS|SEFTON|WIRRAL
WV4	BIRMINGHAM|COVENTRY|WOLVERHAMPTON|DUDLEY|SANDWELL|SOLIHULL|WALSALL
HD5	BRADFORD|CALDERDALE|KIRKLEES|LEEDS|WAKEFIELD
TQ5	DEVON
CO4	ESSEX|SUFFOLK
BH15	DORSET
CM6	ESSEX
EX2	DEVON
E2	GREATER_LONDON
KT8	SURREY|GREATER_LONDON
CM14	GREATER_LONDON|ESSEX
KW14	HIGHLAND
TR4	CORNWALL
BS40	SOMERSET
EC2M	GREATER_LONDON
NG11	NOTTINGHAMSHIRE
GL3	GLOUCESTERSHIRE
HP18	OXFORDSHIRE|BUCKINGHAMSHIRE
SN25	WILTSHIRE
TS2	HARTLEPOOL|STOCKTON-ON-TEES|MIDDLESBROUGH
CA21	CUMBRIA
TR18	CORNWALL
LA11	CUMBRIA
IG8	GREATER_LONDON
PL30	CORNWALL
NE6	NEWCASTLE_UPON_TYNE
EX37	DEVON
S49	DERBYSHIRE
EX10	DEVON
BN5	WEST_SUSSEX
KA5	EAST_AYRSHIRE|SOUTH_AYRSHIRE
WC2E	GREATER_LONDON
WD19	HERTFORDSHIRE
WS8	BIRMINGHAM|COVENTRY|WOLVERHAMPTON|DUDLEY|SANDWELL|SOLIHULL|WALSALL
DN18	NORTH_LINCOLNSHIRE|EAST_RIDING_OF_YORKSHIRE
EX33	DEVON
DE65	DERBYSHIRE
LA4	LANCASHIRE
GL2	GLOUCESTERSHIRE
BT45	MID_ULSTER
BS21	BRISTOL|BATH_AND_NORTH_EAST_SOMERSET|NORTH_SOMERSET|SOUTH_GLOUCESTERSHIRE
EH20	MIDLOTHIAN
SL5	SURREY|BRACKNELL_FOREST|READING|SLOUGH|WEST_BERKSHIRE|WINDSOR_AND_MAIDENHEAD|WOKINGHAM
PO8	HAMPSHIRE
RG4	OXFORDSHIRE|BRACKNELL_FOREST|READING|SLOUGH|WEST_BERKSHIRE|WINDSOR_AND_MAIDENHEAD|WOKINGHAM
KW11	HIGHLAND
HP15	BUCKINGHAMSHIRE
BT77	MID_ULSTER
CH1	CHESHIRE_EAST|CHESHIRE_WEST_AND_CHESTER
NR7	NORFOLK
EX20	DEVON
EH26	MIDLOTHIAN|SCOTTISH_BORDERS
SE22	GREATER_LONDON
GL5	GLOUCESTERSHIRE
EH34	EAST_LOTHIAN
EX12	DEVON
PA14	RENFREWSHIRE|INVERCLYDE
NW8	GREATER_LONDON
PE34	NORFOLK
PO14	HAMPSHIRE
SA1	SWANSEA|NEATH_PORT_TALBOT
AB30	ANGUS|ABERDEENSHIRE
DL14	DURHAM
SG10	HERTFORDSHIRE
BH12	DORSET
LU2	HERTFORDSHIRE|LUTON|CENTRAL_BEDFORDSHIRE
S3	SHEFFIELD
PE25	LINCOLNSHIRE
BD1	BRADFORD
RH15	WEST_SUSSEX|EAST_SUSSEX
G40	GLASGOW
LL55	GWYNEDD
EH24	MIDLOTHIAN
HP21	BUCKINGHAMSHIRE
YO61	NORTH_YORKSHIRE
LL12	WREXHAM|FLINTSHIRE
SO18	HAMPSHIRE
NW7	GREATER_LONDON
NE8	GATESHEAD
BL6	LANCASHIRE|BOLTON|BURY|MANCHESTER|OLDHAM|ROCHDALE|SALFORD|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN
SO32	HAMPSHIRE
S11	BARNSLEY|DONCASTER|ROTHERHAM|SHEFFIELD
DH97	DURHAM
SA38	CEREDIGION|CARMARTHENSHIRE
OX3	OXFORDSHIRE
DE14	STAFFORDSHIRE
LS29	BRADFORD|LEEDS|NORTH_YORKSHIRE
TS26	HARTLEPOOL|STOCKTON-ON-TEES
SW1P	GREATER_LONDON
KA28	NORTH_AYRSHIRE
DE6	STAFFORDSHIRE|DERBYSHIRE|DERBY
EH25	MIDLOTHIAN
SE24	GREATER_LONDON
SG8	HERTFORDSHIRE|CAMBRIDGESHIRE|ESSEX|CENTRAL_BEDFORDSHIRE
PL8	DEVON
EX5	DEVON
NE64	NORTHUMBERLAND
W1T	GREATER_LONDON
G45	GLASGOW
HR5	HEREFORDSHIRE
IP24	SUFFOLK|NORFOLK
KA16	EAST_AYRSHIRE
WA15	MANCHESTER|BOLTON|BURY|OLDHAM|ROCHDALE|STOCKPORT|TAMESIDE|TRAFFORD|WIGAN|SALFORD
BT57	CAUSEWAY_COAST_AND_GLENS
B97	WORCESTERSHIRE
