outer_postcode,region,lat,long
CF31,CF,51.5088748963415,-3.57850760264227
NR34,NR,52.4387096235013,1.58362982134293
NN2,NN,52.2624775335085,-0.888891264126151
NE47,NE,54.9285606097973,-2.25498256925676
GU5,GU,51.1990474096692,-0.509777600508906
M34,M,53.4565118238994,-2.11858399449685
IP28,IP,52.3310214941725,0.527926601398601
DN32,DN,53.5620982076923,-0.070184178461538
TA4,TA,51.0747564812776,-3.27156507048458
BS10,BS,51.5066595200553,-2.61074877869986
KW15,KW,58.9799410814607,-2.95997166853932
KA12,KA,55.61913535533,-4.66519849407783
AL8,AL,51.8036617287736,-0.211685438679245
CH31,CH,53.3296753333333,-3.09880744444444
LA9,LA,54.3254311108694,-2.74334706304349
SO23,SO,51.0685418362779,-1.30832016372203
IG1,IG,51.5594485748372,0.073413634490239
TR13,TR,50.1096021739131,-5.28656168511199
WF90,WF,53.674434,-1.490892
SA5,SA,51.6488982032085,-3.97125456016043
W14,W,51.494684371118,-0.210255940993789
SG6,SG,51.9789932782874,-0.222711662589195
WA3,WA,53.4563072127518,-2.54761870671141
HP19,HP,51.8236558566722,-0.82810711202636
YO10,YO,53.9504789512579,-1.05747627987421
TR7,TR,50.4138537754173,-5.07491339757209
SW2,SW,51.4492880538979,-0.119834054860443
BT39,BT,54.7455642173203,-6.01755129575163
TN35,TN,50.8828887735369,0.614016282442748
DD7,DD,56.5029117123287,-2.71947063561644
NE34,NE,54.9718261696683,-1.42243150805687
EN1,EN,51.6542202654324,-0.068036201646091
DE23,DE,52.9004179600373,-1.49772005483271
EH31,EH,56.0365277446809,-2.82683889361702
EX23,EX,50.8241679761194,-4.53279580895523
BT54,BT,55.2034283533834,-6.25712671428572
PO40,PO,50.6824461586207,-1.52178383793103
WA16,WA,53.3030271222223,-2.37231265726495
TQ4,TQ,50.4227526137931,-3.57224472068966
SW8,SW,51.4765383193588,-0.132007959309494
LL78,LL,53.3174335238095,-4.26325466666667
ML1,ML,55.7989725324041,-3.9752565358885
SW1H,SWH,51.498522831579,-0.133597021052632
PH37,PH,56.82617625,-5.513213
WV14,WV,52.5572805299901,-2.07888729301868
SK10,SK,53.2757022467257,-2.13111563542384
PH38,PH,56.8438022,-5.7438068
BN6,BN,50.9309883601398,-0.155645592657343
SA16,SA,51.6893276484375,-4.25715063671875
L26,L,53.3645196459627,-2.83285414906832
DN9,DN,53.5059106957831,-0.89265421686747
OX11,OX,51.599482635949,-1.25216588321168
YO51,YO,54.0899530940171,-1.39474034188034
IV46,IV,57.111859,-5.983988
BR4,BR,51.3750682749326,-0.00839123180593
BH23,BH,50.747452129397,-1.75458472487438
CO9,CO,51.9690680655556,0.609303176666667
DA8,DA,51.4757400954617,0.176077694835681
SA40,SA,52.084309009434,-4.17558855660377
PA7,PA,55.9074485801887,-4.50348491509434
BD7,BD,53.7834329771615,-1.78571162316476
SA63,SA,51.8742874712644,-4.8562988045977
KA15,KA,55.7484439662447,-4.62633696202532
CB21,CB,52.1279198538283,0.281611310904873
TR26,TR,50.2028843726415,-5.47912070754718
IG10,IG,51.6483834565218,0.066169065217391
G14,G,55.8804460214286,-4.35077146428571
DH2,DH,54.8597265685714,-1.59955090571428
M90,M,53.3634816235294,-2.27812862352941
CA12,CA,54.6025311583515,-3.13459915618221
DE45,DE,53.2147712272727,-1.67814938311688
RG25,RG,51.2274184103896,-1.16292582077922
ML5,ML,55.859746487361,-4.03165410920122
NN17,NN,52.501081057623,-0.684799004801921
LA21,LA,54.3630716956522,-3.07832176086956
SY12,SY,52.9029458021109,-2.89559625065963
TN2,TN,51.126842975728,0.27376133737864
NE13,NE,55.043904182448,-1.64700460969977
YO43,YO,53.8493505231788,-0.68439553200883
PA27,PA,56.1553392272727,-5.08606704545454
SY2,SY,52.7058513320896,-2.72932035074627
SG14,SG,51.8081733412162,-0.093873896959459
TA1,TA,51.0132378928262,-3.1028769170268
PO38,PO,50.6053009119171,-1.2431651208981
L17,L,53.3775828584072,-2.94053279424779
SK12,SK,53.351478745223,-2.0926320700637
B13,B,52.4375561616767,-1.87893251497006
MK3,MK,51.9938643286385,-0.751844361502347
CO6,CO,51.9253242497503,0.792389715284716
IV4,IV,57.450843751938,-4.52442775193798
DA18,DA,51.4942805,0.136047128571429
G72,G,55.8041428301127,-4.12945545410628
NN12,NN,52.1265229719628,-1.00015373030707
TS22,TS,54.6248015104895,-1.31980392307692
DD1,DD,56.4610189328859,-2.97641949161073
NE29,NE,55.0117574455128,-1.46543427884615
PA78,PA,56.6264236,-6.5458418
M40,M,53.504147399126,-2.19090802403496
CO16,CO,51.8219548913612,1.1226849986911
CV2,CV,52.4245128178861,-1.46359179430894
LL52,LL,52.9249040063291,-4.24086874683545
B15,B,52.4661136,-1.92350592978723
OL15,OL,53.6448116786389,-2.09991428733459
PA30,PA,56.0132918139535,-5.44947886046512
M13,M,53.4603849276859,-2.21540372933884
WR8,WR,52.0745806439169,-2.20715634421365
BN88,BN,50.82748525,-0.14005725
NN18,NN,52.4779605247678,-0.713070057275542
SA70,SA,51.6725815523809,-4.74177773571428
LU7,LU,51.9074051409296,-0.663220960269865
IV63,IV,57.3047955,-4.53259946969697
SW3,SW,51.4891304988531,-0.165711225917431
EC4V,ECV,51.5124373196721,-0.099824229508197
MK19,MK,52.0746832908012,-0.855303195845698
KW9,KW,58.013680943662,-3.85887033802817
RM2,RM,51.584285056391,0.203231785714286
SE9,SE,51.4451424086022,0.054826263027295
SA35,SA,51.9712032325581,-4.5585611627907
PO22,PO,50.8001122398786,-0.647676567813764
GL10,GL,51.7435265557987,-2.28662999124727
CT18,CT,51.1155966130536,1.14938622377622
LS27,LS,53.7487295134384,-1.6034614068582
CB24,CB,52.2781023185484,0.082123022849462
TA20,TA,50.873567790303,-2.96230624606061
TF3,TF,52.6673153270142,-2.4482057314376
TR21,TR,49.9190253055556,-6.29864094444445
S5,S,53.4222192528847,-1.46320865
MK44,MK,52.1969404204893,-0.424114860856269
CF82,CF,51.6510982096775,-3.23796497379033
SS14,SS,51.5760364705882,0.474591550802139
